index,상가업소번호,가게명,키워드,갯수
145,MA010120220805022129,권식족발 성수본점,성수동 족발 성 수 핫 플,21
146,MA010120220805022129,권식족발 성수본점,성수동 맛집 성수역 맛집,16
147,MA010120220805022129,권식족발 성수본점,성수역 맛집 성수동 족발,16
148,MA010120220805022129,권식족발 성수본점,많은 양,8
149,MA010120220805022129,권식족발 성수본점,성수동 맛집 성수동 족발,8
150,MA010120220805022129,권식족발 성수본점,성수역 맛집 성수동 맛집,8
151,MA010120220805022129,권식족발 성수본점,계란찜 서비스,6
152,MA010120220805022129,권식족발 성수본점,맛있다 계란찜,5
153,MA010120220805022129,권식족발 성수본점,맛있다 성수동 맛집,5
154,MA010120220805022129,권식족발 성수본점,맵다 족발,5
155,MA010120220805022129,권식족발 성수본점,불 족발,5
156,MA010120220805022129,권식족발 성수본점,서비스 좋다,5
157,MA010120220805022129,권식족발 성수본점,족발 맛있다,5
158,MA010120220805022129,권식족발 성수본점,주시 고,5
159,MA010120220805022129,권식족발 성수본점,맛있게 먹다,4
160,MA010120220805022129,권식족발 성수본점,맛집 성수동,4
161,MA010120220805022129,권식족발 성수본점,반 반 족발,4
162,MA010120220807114222,고집132 성수본점,친절한 직원,12
163,MA010120220807114222,고집132 성수본점,맛있게 먹다,7
164,MA010120220807114222,고집132 성수본점,성수동 맛집,7
165,MA010120220807114222,고집132 성수본점,직접 굽다,7
166,MA010120220807114222,고집132 성수본점,고기 맛있다,6
167,MA010120220807114222,고집132 성수본점,맛있다 직원,6
168,MA010120220807114222,고집132 성수본점,성수동 고기,6
169,MA010120220807114222,고집132 성수본점,고기 굽다,5
170,MA010120220807114222,고집132 성수본점,고기 맛,5
171,MA010120220807114222,고집132 성수본점,고기 맛집,5
172,MA010120220807114222,고집132 성수본점,고기 신선하다,5
173,MA010120220807114222,고집132 성수본점,도끼 갈비,5
174,MA010120220814207284,스케줄 성수,맛있는 음식,19
175,MA010120220814207284,스케줄 성수,좋은 분위기,15
176,MA010120220814207284,스케줄 성수,넓은 매장,10
177,MA010120220814207284,스케줄 성수,모임 좋다,6
178,MA010120220814207284,스케줄 성수,좋다 음식,6
179,MA010120220814207284,스케줄 성수,맛있게 먹다,5
180,MA010120220814207284,스케줄 성수,맛있다 분위기,5
181,MA010120220814207284,스케줄 성수,특별하다 날,5
182,MA010120220814207284,스케줄 성수,넓다인테리어,4
183,MA010120220814207284,스케줄 성수,사진 찍기,4
184,MA010120220813012834,성수옥아궁지 성수본점,돈마 호크,22
185,MA010120220813012834,성수옥아궁지 성수본점,직접 굽다,12
186,MA010120220813012834,성수옥아궁지 성수본점,고기 맛있다,8
187,MA010120220813012834,성수옥아궁지 성수본점,반 판,7
188,MA010120220813012834,성수옥아궁지 성수본점,돈마 호크 반 판,6
189,MA010120220813012834,성수옥아궁지 성수본점,친절한 직원,5
190,MA010120220813012834,성수옥아궁지 성수본점,가마솥 굽다,4
191,MA010120220813012834,성수옥아궁지 성수본점,고기 질도,4
192,MA010120220809625599,마씨,맛있게 먹다,10
193,MA010120220809625599,마씨,안심 등심,6
194,MA010120220809625599,마씨,안심 카츠,6
195,MA010120220809625599,마씨,친절한 직원,6
196,MA010120220809625599,마씨,맛있는 돈까스,5
197,MA010120220809625599,마씨,특등 심,5
198,MA010120220807721711,성수온실,성게알,9
199,MA010120220807721711,성수온실,좋은 분위기,9
200,MA010120220807721711,성수온실,재방문 의사,8
201,MA010120220807721711,성수온실,들기름 파스타,7
202,MA010120220807721711,성수온실,성게알 파스타,7
203,MA010120220807721711,성수온실,친절한 직원,7
204,MA010120220807721711,성수온실,창란젓 들기름,6
205,MA010120220807721711,성수온실,트러플 파스타,6
206,MA010120220807721711,성수온실,파스타 랑,6
207,MA010120220807721711,성수온실,맛있게 먹다,5
208,MA010120220807721711,성수온실,맛있는 음식,5
209,MA010120220808562367,쎈느Scene,맛있는 커피,7
210,MA010120220808562367,쎈느Scene,맛있는 디저트,5
211,MA010120220808562367,쎈느Scene,맛있는 음료,5
212,MA010120220808562367,쎈느Scene,맛있다 디저트,4
213,MA010120220808562367,쎈느Scene,사람 많다,3
214,MA010120220808562367,쎈느Scene,예쁜인테리어,3
215,MA010120220808562367,쎈느Scene,즐겁다 팝업,3
216,MA010120220808562367,쎈느Scene,커피 마시다,3
217,MA010120220812304908,연남토마 성수점,맛있는 음식,7
218,MA010120220812304908,연남토마 성수점,맛있게 먹다,6
219,MA010120220812304908,연남토마 성수점,명란 바질 파스타,5
220,MA010120220812304908,연남토마 성수점,친절한 직원,5
221,MA010120220812304908,연남토마 성수점,좋은 분위기,4
222,MA010120220812304908,연남토마 성수점,차돌 중화 크림 파스타,4
223,MA010120220812304908,연남토마 성수점,맛있다 좋다,3
224,MA010120220812304908,연남토마 성수점,바질 파스타,3
225,MA010120220812304908,연남토마 성수점,생각 보다,3
226,MA010120220812304908,연남토마 성수점,소고기 치즈 츠,3
227,MA010120220812304908,연남토마 성수점,싸 먹다,3
228,MA010120220812304908,연남토마 성수점,알쌈 리조또,3
229,MA010120220813867471,위드번,수제 버거,15
230,MA010120220813867471,위드번,새우 버거,13
231,MA010120220813867471,위드번,버거 맛있다,5
232,MA010120220813867471,위드번,감자튀김다,4
233,MA010120220813867471,위드번,맛있게 먹다,4
234,MA010120220813867471,위드번,새우 패티,4
235,MA010120220813867471,위드번,수제 버거 먹다,4
236,MA010120220813867471,위드번,쉬림프,4
237,MA010120220813867471,위드번,오랜 만,4
238,MA010120220813867471,위드번,완전 맛있다,4
239,MA010120220813867471,위드번,위드 벅,4
240,MA010120220813867471,위드번,위드 번,4
241,MA010120220813867471,위드번,친절한 직원,4
242,MA010120220807132447,팔각도 성수역점,부드럽다 맛있다,5
243,MA010120220807132447,팔각도 성수역점,맛있다 친절하다,4
244,MA010120220807132447,팔각도 성수역점,다양하다 좋다,3
245,MA010120220807132447,팔각도 성수역점,닭갈비 맛있다,3
246,MA010120220807132447,팔각도 성수역점,맛있게 먹다,3
247,MA010120220807132447,팔각도 성수역점,맛있다 닭갈비,3
248,MA010120220807132447,팔각도 성수역점,숯불 닭갈비,3
249,MA010120220807132447,팔각도 성수역점,오다 싶다,3
250,MA010120220807132447,팔각도 성수역점,추천 드리다,3
251,MA010120220810145618,천하 솥뚜껑,솥 뚜껑,14
252,MA010120220810145618,천하 솥뚜껑,굽다 먹다,8
253,MA010120220810145618,천하 솥뚜껑,고기 맛있다,7
254,MA010120220810145618,천하 솥뚜껑,많은 양,5
255,MA010120220810145618,천하 솥뚜껑,잘 먹다,5
256,MA010120220810145618,천하 솥뚜껑,친절한 직원,5
258,MA010120220810145618,천하 솥뚜껑,고기 부드럽다,4
259,MA010120220806441934,투썸플레이스 성수skv타워점,케이크 종류,4
260,MA010120220806441934,투썸플레이스 성수skv타워점,많은 종류,3
261,MA010120220806441934,투썸플레이스 성수skv타워점,맛있는 음료,2
262,MA010120220806441934,투썸플레이스 성수skv타워점,맛있는 커피,2
263,MA010120220806441934,투썸플레이스 성수skv타워점,맛있다 직원,2
264,MA010120220806441934,투썸플레이스 성수skv타워점,분 친절하다,2
265,MA010120220806441934,투썸플레이스 성수skv타워점,빨리 나오다,2
266,MA010120220806441934,투썸플레이스 성수skv타워점,오기 좋다,2
267,MA010120220806441934,투썸플레이스 성수skv타워점,음료 빨리 나오다,2
268,MA010120220813886161,맘스터치 성수역점,혼밥 좋다,4
269,MA010120220813886161,맘스터치 성수역점,많다 좋다,2
270,MA010120220813886161,맘스터치 성수역점,맛있게 먹다,2
271,MA010120220813886161,맘스터치 성수역점,신선하다 맛있다,2
272,MA010120220813886161,맘스터치 성수역점,신선한 야채,2
273,MA010120220813886161,맘스터치 성수역점,싸이 버거,2
274,MA010120220813886161,맘스터치 성수역점,싸이버 거가,2
275,MA010120220813886161,맘스터치 성수역점,아주 맛있다,2
276,MA010120220813886161,맘스터치 성수역점,양 많다,2
277,MA010120220803339035,투데이즈이너프,친절한 사장님,16
278,MA010120220803339035,투데이즈이너프,맛있는 커피,15
279,MA010120220803339035,투데이즈이너프,좋은 분위기,13
280,MA010120220803339035,투데이즈이너프,너프 화이트,12
281,MA010120220803339035,투데이즈이너프,에스프레소 바,12
282,MA010120220803339035,투데이즈이너프,비 스코티,8
283,MA010120220803339035,투데이즈이너프,설명 해주다,7
284,MA010120220803339035,투데이즈이너프,친절하다 커피,7
285,MA010120220803339035,투데이즈이너프,콘파 냐,7
286,MA010120220803339035,투데이즈이너프,좋다 사장님,6
287,MA010120220803339035,투데이즈이너프,좋다 커피,6
288,MA010120220805803862,로우키,맛있는 커피,23
289,MA010120220805803862,로우키,로우키,10
290,MA010120220805803862,로우키,스페셜 티,6
291,MA010120220805803862,로우키,헤이그 라운드,6
292,MA010120220805803862,로우키,가다 커피,4
293,MA010120220805803862,로우키,마시다 보다,4
294,MA010120220805803862,로우키,맛있다 분위기,4
295,MA010120220805803862,로우키,스콘 먹다,4
296,MA010120220805803862,로우키,일부러 찾아가다,4
297,MA010120220805221379,로우커피스탠드,가성비 좋다,10
298,MA010120220805221379,로우커피스탠드,맛있는 커피,10
299,MA010120220805221379,로우커피스탠드,라떼 맛집,4
300,MA010120220805221379,로우커피스탠드,맛있다 친절,4
301,MA010120220805221379,로우커피스탠드,매일 가다,4
302,MA010120220805221379,로우커피스탠드,아이스 라떼,4
303,MA010120220805221379,로우커피스탠드,좋다 커피,4
304,MA010120220805221379,로우커피스탠드,커피 맛집,4
305,MA010120220805221379,로우커피스탠드,맛 도리,2
306,MA010120220805221379,로우커피스탠드,오다 따다,2
307,MA010120220805221379,로우커피스탠드,2200원 미치다,2
308,MA010120220805221379,로우커피스탠드,가격 양,2
309,MA010120220805221379,로우커피스탠드,가격 착하다,2
310,MA010120220805221379,로우커피스탠드,가격 착하다 공,2
311,MA010120220805221379,로우커피스탠드,가격 합리적이다다,2
312,MA010120220805221379,로우커피스탠드,가다 로우 커피,2
313,MA010120220805221379,로우커피스탠드,가다가 드디어,2
314,MA010120220803588777,파머스카페,좋은 분위기,9
315,MA010120220803588777,파머스카페,벨 지안,7
316,MA010120220803588777,파머스카페,귀엽다 고양이,6
317,MA010120220803588777,파머스카페,맛있는 음료,6
318,MA010120220803588777,파머스카페,맛있는 커피,6
319,MA010120220803588777,파머스카페,고양이 귀엽다,5
320,MA010120220803588777,파머스카페,벨 지안 초콜릿,4
321,MA010120220803588777,파머스카페,초코 음료,4
322,MA010120220803588777,파머스카페,초콜릿 우유,4
324,MA010120220803238646,정돈 성수점,등심 안심,4
325,MA010120220803238646,정돈 성수점,부드럽다 맛있다,4
326,MA010120220803238646,정돈 성수점,안심 카츠,4
327,MA010120220803238646,정돈 성수점,트러플 소금,4
328,MA010120220803238646,정돈 성수점,돈까스 완전,3
329,MA010120220812216822,이오로비스트로,참치 노리마끼,10
330,MA010120220812216822,이오로비스트로,명란 파스타,5
332,MA010120220812216822,이오로비스트로,노리마끼,3
333,MA010120220812216822,이오로비스트로,대창 파스타,3
334,MA010120220812216822,이오로비스트로,맛있는 음식,3
335,MA010120220812216822,이오로비스트로,매콤 명란 파스타,3
336,MA010120220812216822,이오로비스트로,생각 보다,3
337,MA010120220812216822,이오로비스트로,좋은 분위기,3
338,MA010120220812216822,이오로비스트로,참치 노리마끼다,3
339,MA010120220812216822,이오로비스트로,파스타 맛있다,3
341,MA010120220803899287,롯데리아 성수역점,깔끔하다 좋다,5
342,MA010120220803899287,롯데리아 성수역점,매장 깔끔하다,4
343,MA010120220803899287,롯데리아 성수역점,매장 깨끗하다,3
344,MA010120220803899287,롯데리아 성수역점,새롭게 생기다,3
345,MA010120220803899287,롯데리아 성수역점,맛있게 먹다,2
346,MA010120220803899287,롯데리아 성수역점,매장 관리,2
347,MA010120220803899287,롯데리아 성수역점,매장 분위기,2
348,MA010120220803899287,롯데리아 성수역점,매장 청결하다,2
349,MA010120220803899287,롯데리아 성수역점,사람 많다,2
350,MA010120220803899287,롯데리아 성수역점,안되다 매장,2
351,MA010120220803899287,롯데리아 성수역점,재료 신선하다,2
352,MA010120220803899287,롯데리아 성수역점,한 끼,2
353,MA010120220800605454,올댓커피 포레스트점,맛있는 커피,11
354,MA010120220800605454,올댓커피 포레스트점,올 댓 커피,10
355,MA010120220800605454,올댓커피 포레스트점,메뉴 설명,6
356,MA010120220800605454,올댓커피 포레스트점,설명 친절하다,4
357,MA010120220800605454,올댓커피 포레스트점,설명 해주다,4
358,MA010120220800605454,올댓커피 포레스트점,좋다 커피,4
359,MA010120220800605454,올댓커피 포레스트점,커피 맛,4
360,MA010120220800605454,올댓커피 포레스트점,해주시 고,4
361,MA010120220800605454,올댓커피 포레스트점,기분 좋다,3
362,MA010120220803439620,라무라 성수,라무 라,9
363,MA010120220803439620,라무라 성수,계피 교자,6
365,MA010120220803439620,라무라 성수,기분 좋다,4
366,MA010120220803439620,라무라 성수,닭고기 밥,4
367,MA010120220803439620,라무라 성수,맛있게 먹다,4
368,MA010120220803439620,라무라 성수,맛있다 잘 먹다,4
369,MA010120220803439620,라무라 성수,잘 먹다,4
370,MA010120220805534983,크리스탈드래곤 성수낙낙점,맛있는 음식,5
371,MA010120220805534983,크리스탈드래곤 성수낙낙점,딤섬 맛있다,4
372,MA010120220805534983,크리스탈드래곤 성수낙낙점,우육 탕면,4
373,MA010120220805534983,크리스탈드래곤 성수낙낙점,자주 오다,4
375,MA010120220805534983,크리스탈드래곤 성수낙낙점,깔끔하게 맛있다,3
376,MA010120220805534983,크리스탈드래곤 성수낙낙점,맛있게 먹다,3
377,MA010120220805534983,크리스탈드래곤 성수낙낙점,맛있다 딤섬,3
378,MA010120220805534983,크리스탈드래곤 성수낙낙점,진하다 맛있다,3
379,MA010120220805534983,크리스탈드래곤 성수낙낙점,국물 진하다,2
380,MA010120220805534983,크리스탈드래곤 성수낙낙점,넓다 깨끗하다,2
381,MA010120220805534983,크리스탈드래곤 성수낙낙점,넓은 매장,2
382,MA010120220809664319,꽌코이,맛있는 음식,12
383,MA010120220809664319,꽌코이,반쎄오,11
384,MA010120220809664319,꽌코이,맛있게 먹다,10
386,MA010120220809664319,꽌코이,코 티비,8
387,MA010120220809664319,꽌코이,친절한 직원,5
388,MA010120220809664319,꽌코이,마늘 밥,4
389,MA010120220809664319,꽌코이,반쎄오,4
390,MA010120220809664319,꽌코이,베트남 음식,4
391,MA010120220809664319,꽌코이,잘 먹다,4
392,MA010120220809664319,꽌코이,맛있다 반쎄오,3
393,MA010120220809664319,꽌코이,맛있다 잘 먹다,3
395,MA010120220812150643,훼미리손칼국수보쌈,보쌈 정식,12
396,MA010120220812150643,훼미리손칼국수보쌈,맛있게 먹다,5
397,MA010120220812150643,훼미리손칼국수보쌈,보쌈이랑,5
398,MA010120220812150643,훼미리손칼국수보쌈,보쌈이랑 칼국수,5
399,MA010120220812150643,훼미리손칼국수보쌈,칼국수 맛있다,5
400,MA010120220812150643,훼미리손칼국수보쌈,맛있는 김치,4
401,MA010120220812150643,훼미리손칼국수보쌈,먹다 맛있다,4
402,MA010120220812150643,훼미리손칼국수보쌈,사람 많다,4
403,MA010120220812150643,훼미리손칼국수보쌈,맛있다 칼국수,3
404,MA010120220812150643,훼미리손칼국수보쌈,보쌈 칼국수,3
405,MA010120220812150643,훼미리손칼국수보쌈,서비스 주다,3
406,2204,르프리크,시그니처 버거,9
408,2204,르프리크,맛있게 먹다,4
409,2204,르프리크,좋은 분위기,4
410,2204,르프리크,치킨 버거,4
411,2204,르프리크,가지 요리,3
412,2204,르프리크,르프 리크,3
413,2204,르프리크,맛있다 치킨,3
414,2204,르프리크,맵다 맛,3
415,MA010120220807208191,잠수교집 성수 직영점,고기 맛있다,6
416,MA010120220807208191,잠수교집 성수 직영점,냉삼 맛있다,5
417,MA010120220807208191,잠수교집 성수 직영점,맛있게 먹다,4
418,MA010120220807208191,잠수교집 성수 직영점,맛있다 반찬,4
419,MA010120220807208191,잠수교집 성수 직영점,맛있다 청국장,4
420,MA010120220807208191,잠수교집 성수 직영점,반찬 다양하다,4
422,MA010120220804946579,카카모루 성수점,맵다 맛,8
424,MA010120220804946579,카카모루 성수점,파 마산,5
425,MA010120220804946579,카카모루 성수점,가성비 좋다,4
426,MA010120220804946579,카카모루 성수점,맛있는 음식,4
427,MA010120220804946579,카카모루 성수점,좋다 카레,4
428,MA010120220804946579,카카모루 성수점,맛있다 토핑,3
429,MA010120220804946579,카카모루 성수점,반 숙란,3
430,MA010120220810093643,젠젠 성수점,수플레 팬케이크,8
431,MA010120220810093643,젠젠 성수점,수플레 케이크,6
432,MA010120220810093643,젠젠 성수점,맛있는 커피,5
433,MA010120220810093643,젠젠 성수점,맛있다 수플레,5
434,MA010120220810093643,젠젠 성수점,친절한 직원,4
435,MA010120220810093643,젠젠 성수점,커피 랑,4
436,MA010120220810093643,젠젠 성수점,맛있게 먹다,3
437,MA010120220810093643,젠젠 성수점,맛있는 음료,3
438,MA010120220806684244,훔볼트,맛있는 커피,8
439,MA010120220806684244,훔볼트,넓은 매장,6
440,MA010120220806684244,훔볼트,맛있는 디저트,6
441,MA010120220806684244,훔볼트,맛있다 디저트,5
442,MA010120220806684244,훔볼트,예쁜인테리어,4
443,MA010120220806684244,훔볼트,빵 맛있다,3
444,MA010120220806684244,훔볼트,넓다 좋다,2
445,MA010120220806684244,훔볼트,대화하기 좋다,2
446,MA010120220806684244,훔볼트,맛있다인테리어,2
447,MA010120220806684244,훔볼트,쏘쏘 해 요,2
448,MA010120220806684244,훔볼트,좋은 분위기,2
449,MA010120220804819197,문츠 바베큐,비프 립,14
450,MA010120220804819197,문츠 바베큐,비프 립 플래터,14
451,MA010120220804819197,문츠 바베큐,부드럽다 맛있다,5
452,MA010120220804819197,문츠 바베큐,캐치 테이블,5
453,MA010120220804819197,문츠 바베큐,포르 게타,5
454,MA010120220804819197,문츠 바베큐,고기 부드럽다,4
455,MA010120220804819197,문츠 바베큐,살살 녹다,4
456,MA010120220804819197,문츠 바베큐,시그니처 비프 립,4
457,MA010120220804819197,문츠 바베큐,맛있게 먹다,3
458,MA010120220812523221,까망,가지 그라탕,14
459,MA010120220812523221,까망,많은 양,10
460,MA010120220812523221,까망,맛있게 먹다,9
461,MA010120220812523221,까망,치킨 필라프,8
462,MA010120220812523221,까망,맛있는 음식,6
463,MA010120220812523221,까망,친절한 직원,6
464,MA010120220812523221,까망,가지 그라탕,5
465,MA010120220812523221,까망,라 파스타,5
466,MA010120220812523221,까망,맛있다 친절하다,5
467,MA010120220812523221,까망,비프 크림 파스타,5
468,MA010120220812523221,까망,크림 파스타,4
469,MA010120220803774227,강남면옥 성수점,맛있게 먹다,5
470,MA010120220803774227,강남면옥 성수점,갈비탕 맛있다,4
472,MA010120220803774227,강남면옥 성수점,단 짜다 짜다,3
473,MA010120220803774227,강남면옥 성수점,맛있다 갈비찜,3
474,MA010120220803774227,강남면옥 성수점,갈비찜 맛있다,2
475,MA010120220803774227,강남면옥 성수점,갈비찜 맛집,2
476,MA010120220803774227,강남면옥 성수점,갈비찜 먹다,2
477,MA010120220803774227,강남면옥 성수점,갈비탕 고기,2
478,MA010120220803774227,강남면옥 성수점,냉면이랑,2
479,2235,천상가옥,좋은 분위기,7
480,2235,천상가옥,맛있는 커피,5
481,2235,천상가옥,자리 많다,4
482,2235,천상가옥,후추 커피,4
483,2235,천상가옥,넓다 좋다,3
484,2235,천상가옥,넓은 매장,3
485,2235,천상가옥,맛있는 디저트,3
