index,상가업소번호,가게명,키워드,갯수
0,1109,어니언안국,분위기 좋다,27
1,1109,어니언안국,사람 많다,25
2,1109,어니언안국,빵 맛있다,21
6,1109,어니언안국,맛있는 커피,11
7,1109,어니언안국,맛있다 분위기,11
9,1104,오설록티 하우스 북촌점,분위기 좋다,14
11,1104,오설록티 하우스 북촌점,뷰 좋다,9
13,1104,오설록티 하우스 북촌점,티 칵테일,5
14,1115,블루보틀 삼청 카페,맛있는 커피,11
15,1115,블루보틀 삼청 카페,커피 맛,6
17,1115,블루보틀 삼청 카페,사람 많다,4
18,1103,프릳츠  원서점,맛있는 커피,17
20,1103,프릳츠  원서점,분위기 좋다,8
21,1103,프릳츠  원서점,빵 맛있다,7
22,1103,프릳츠  원서점,커피 맛,4
24,1103,프릳츠  원서점,맛있다 빵,3
25,1103,프릳츠  원서점,산딸기 크루아상,3
26,1100,소금집델리 안국,잠봉뵈르 맛있다,5
28,1100,소금집델리 안국,맛있다 잠봉뵈르,4
29,1100,소금집델리 안국,짜지 않다,4
31,1100,소금집델리 안국,맛 아니다,3
32,MA010120220811823342,땡스오트 안국,그릭 요거트,16
34,MA010120220811823342,땡스오트 안국,바삭 맛있다,5
35,MA010120220811823342,땡스오트 안국,그릭 요거트 맛있다,4
36,MA010120220811823342,땡스오트 안국,맛있게 먹다,4
37,MA010120220811823342,땡스오트 안국,양은 적다,4
38,MA010120220811823342,땡스오트 안국,연어 샌드위치,4
39,MA010120220801049024,삼청빙수,맛있는 빙수,7
41,MA010120220801049024,삼청빙수,사람 많다,4
42,MA010120220801049024,삼청빙수,그릇 작다,3
43,MA010120220801049024,삼청빙수,빙수 맛집,3
45,MA010120220801049024,삼청빙수,딸기 빙수,2
47,MA010120220805148419,모자이크 베이커리 북촌점,맛있는 커피,7
48,MA010120220805148419,모자이크 베이커리 북촌점,빵 맛있다,7
50,MA010120220805148419,모자이크 베이커리 북촌점,분위기 좋다,6
51,MA010120220805148419,모자이크 베이커리 북촌점,인테리어 예쁘다,9
52,MA010120220814042518,핑크래빗가든,분위기 좋다,6
54,MA010120220814042518,핑크래빗가든,맛있는 샐러드,4
55,MA010120220814042518,핑크래빗가든,매장 넓다,3
56,MA010120220814042518,핑크래빗가든,북촌 맛집,3
57,MA010120220814042518,핑크래빗가든,샐러드 재료,3
58,MA010120220814042518,핑크래빗가든,음식 맛있다,3
59,MA010120220814042518,핑크래빗가든,재료 신선한 재료,3
61,MA0101202212A0020676,갓잇 안국점,맛있게 먹다,6
62,MA0101202212A0020676,갓잇 안국점,배부르다 먹다,4
63,MA0101202212A0020676,갓잇 안국점,친절한 직원분들,4
