상가업소번호,키워드,행정동,업종,리뷰,가게명,갯수
MA010120220814395136,조용한,성수1가제1동,카페,서울숲 조용한 카페 찾는다면 굿,히즈빈스 성수점,8.0
MA010120220814395136,콜드 브루,성수1가제1동,카페,돌체콜드브루 맛있어요:),히즈빈스 성수점,8.0
MA010120220814395136,맛있는 커피,성수1가제1동,카페,분위기도 좋고 커피도 맛있어요,히즈빈스 성수점,7.0
MA010120220814395136,분위기,성수1가제1동,카페,분위기 맛집 대박,히즈빈스 성수점,6.0
MA010120220814395136,음료,성수1가제1동,카페,서울숲 주변 카페로 추천해요 조용해서 대화하기 좋고 음료도 맛있어요,히즈빈스 성수점,6.0
MA010120220814395136,쿠키,성수1가제1동,카페,네이버로 주문하면 쿠키도 주시고-~ 텀블러 할인까지!,히즈빈스 성수점,6.0
MA010120220814395136,노트북,성수1가제1동,카페,노트북 업무 보기에 좋습니다,히즈빈스 성수점,4.0
MA010120220812896442,맛있는,성수1가제2동,한식,너무 맛있어요.. 밑반찬도 찌개도 최고,희정보감족,22.0
MA010120220812896442,고기,성수1가제2동,한식,"물가가 많이 올랐다지만, 고기나 반찬 양이 좀 더 많았으면 알맞았을 것 같다는 생각입니다..",희정보감족,4.0
MA010120220812896442,친절한,성수1가제2동,한식,너무 맛있고 갈때마다 반찬도 바뀌고 정말 친절하시도 음식은 겁나 빨리 나오고 그냥 최고에요... 사장님 평생 건강하시고.. 오래 오래 장사해주세요,희정보감족,4.0
MA010120220812896442,보쌈,성수1가제2동,한식,"보쌈정식으로 점심먹음 속도 든든하고 , 찌개까지 나와서 뜨끈 ~ 하니 좋아요",희정보감족,4.0
MA010120220812896442,정식,성수1가제2동,한식,보쐄정식,희정보감족,3.0
MA010120220812896442,가성비,성수1가제2동,한식,너무 알차고 맛있게 먹었습니다 가성비 좋아요!!,희정보감족,2.0
MA010120220812896442,건강한,성수1가제2동,한식,너무 맛있고 갈때마다 반찬도 바뀌고 정말 친절하시도 음식은 겁나 빨리 나오고 그냥 최고에요... 사장님 평생 건강하시고.. 오래 오래 장사해주세요,희정보감족,
MA010120220803763571,친절한 사장님,성수1가제1동,한식,사장님도 친절하시고 너무 맛있어요~,100회,1.0
MA010120220812896442,부드러운,성수1가제2동,한식,족발 부드럽고 마싯어용,희정보감족,2.0
MA010120220812896442,점심,성수1가제2동,한식,밥 무한리필에 맛도좋아서 점심시간에 자주 방문해요!,희정보감족,2.0
MA010120220806600844,맛있는,성수1가제1동,주점,맛있게 잘먹었어요 분위가 너무 좋아요,희릿,87.0
MA010120220806600844,웰링턴,성수1가제1동,주점,웰링턴.. 문어 질기고 관자는 조리가 잘못 된 느낌,희릿,22.0
MA010120220806600844,예약,성수1가제1동,주점,"캐치테이블로 예약후 방문했다.예약좌석을 직접 고를수있어 좋았다.음식은 양이 많은건 아니어서 배부르게 먹는건 사실상 불가능 했지만, 맛있었기에 만족한다.데이트하기 좋을듯 하다",희릿,20.0
MA010120220806600844,분위기,성수1가제1동,주점,분위기가 좋으나 맛이나 양에 비해 가격이 비쌈,희릿,18.0
MA010120220806600844,비프,성수1가제1동,주점,비프웰링턴 예약필수 고기와 빵의 조화가 넘 맛있어요 ! 와인이랑도 잘어울려요  분위기도 아주 좋아서 특별한 날 가기에도 좋아요,희릿,18.0
MA010120220806600844,와인,성수1가제1동,주점,"성수동의 주택을 개조해서 만든 아늑하고 감성 가득한 다이닝바. 데이트코스로 좋은 장소, 음식과 와인맛도 좋음.",희릿,18.0
MA010120220806600844,뇨끼,성수1가제1동,주점,아 뇨끼가 맛있다고 해서 찾아갔는데….할말하앓,희릿,12.0
MA010120220806600844,파스타,성수1가제1동,주점,와 너무 맛있어서 감탄하면서 먹었어요ㅠㅠㅠㅠ 트러플 파스타 개존맛ㅠㅠㅠㅠ,희릿,12.0
MA010120220806600844,친절한,성수1가제1동,주점,친절해요,희릿,11.0
MA010120220806600844,튀김,성수1가제1동,주점,뽈뽀를 왜 튀기는 거져 뽈뽀를 왜 ㅜㅠ 그냥 오징어튀김 같은 맛이었어요. 둘이 갔는데 서로 막 안 먹고 너 더 먹어라 아니다 너 더 먹어라 사이좋게 조금 남겼네여.. 루꼴라 파스타는 맛있게 먹었어요. 루꼴라가 신선했어요.. 하지만 뽈뽀 ... 무엇.. ㅜㅠ,희릿,9.0
MA010120220808459729,맛있는,성수2가제1동,주점,육전 맛있네요ㅋㅋㅋ,흙과나무,12.0
MA010120220803760762,와이프랑,성수2가제1동,한식,방어회 먹음  와이프와 같이먹었는데 둘다 설사 구토 열증상보임  집근처라갔는데 다신갈생각없음,2002횟집,
MA010120220808459729,파전,성수2가제1동,주점,여기 돈까스 파전 한번만 제발 먹어보세요 ㅋㅋㅋ 찐단골 된다능 ㅋㅋㅋ 기본언주 동치미에다가 돈까스파전이면 소주 인당 2병각임!!,흙과나무,3.0
MA010120220808459729,막걸리,성수2가제1동,주점,돈까스파전이라는 신박한 메뉴 국물떡볶이도 맛있구요. 막걸리도 기가막힘 묘하게 또 오게 만드는 매력있는 술집,흙과나무,3.0
MA010120220808982041,시원한,성수2가제3동,한식,시원한 국물,24시전주명가콩나물국밥 서울성수점,4.0
MA010120220808982041,싼,성수2가제3동,한식,싼데 맛있기까지 해요,24시전주명가콩나물국밥 서울성수점,
MA010120220808459729,떡볶이,성수2가제1동,주점,돈까스파전이라는 신박한 메뉴 국물떡볶이도 맛있구요. 막걸리도 기가막힘 묘하게 또 오게 만드는 매력있는 술집,흙과나무,2.0
MA010120220808459729,친절한,성수2가제1동,주점,지정된 전들 제외 반반전이 안되서 아쉽지만 직원분이 친절하고 음식도 맛있어요~ 인테리어도 여긴 딱 막걸리를 먹어야되는 느낌 충만 비오는 날 오면 더 좋을듯!,흙과나무,2.0
MA0101202212A0043403,대화,성수1가제2동,주점,적당히 얘기하기 좋은 펍,55주막,2.0
MA010120220808459729,대화,성수2가제1동,주점,인테리어가 특이하고 아늑해서 대화하기 좋아요.,흙과나무,2.0
MA010120220812150643,맛있는,성수1가제2동,한식,양도 많고 맛있어요,훼미리손칼국수보쌈,124.0
MA010120220812150643,칼국수,성수1가제2동,한식,"양 많아요. 맛은 그냥저냥 아는 맛!  사장님 진짜 친절하세요.  저 원래 국물파라 국물 위주로 먹는데, 저희 테이블 위에 있는 칼국수 보시고는 국물이 적다며 따끈한 칼국수 새로 주셨습니다.. 쏘 스윗..",훼미리손칼국수보쌈,55.0
MA010120220812150643,보쌈,성수1가제2동,한식,보쌈 굿,훼미리손칼국수보쌈,51.0
MA010120220812150643,김치,성수1가제2동,한식,"보쌈정식 15,000원  양이 많아서 2인이 먹어도 될 정도에요! 칼국수는 처음 나왔을 때 후추 향이 확 나고, 면은 푹 삶아져서 야들야들해요! 양념장 넣는게 더 나았고, 김치랑 먹으니 더 맛있어요. 보쌈은 무김치랑 먹는게 정말 맛있더라고요!",훼미리손칼국수보쌈,33.0
MA010120220812150643,정식,성수1가제2동,한식,정식은 정말 든든함,훼미리손칼국수보쌈,26.0
MA010120220812150643,친절한,성수1가제2동,한식,맛은 있다만.... 서빙 이모님이 친절함이 부족...,훼미리손칼국수보쌈,20.0
MA010120220812150643,고기,성수1가제2동,한식,고기가 한줄은 전부 비계였어요,훼미리손칼국수보쌈,18.0
MA010120220812150643,수육,성수1가제2동,한식,수육이 자꾸 생각나요,훼미리손칼국수보쌈,13.0
MA010120220812150643,감자전,성수1가제2동,한식,양도 엄청 푸짐하고 직접 갈아만든 감자전이 일품입니다,훼미리손칼국수보쌈,11.0
MA010120220812150643,맛집,성수1가제2동,한식,사람이 많아서....  맛은좋아요 동네 맛집,훼미리손칼국수보쌈,11.0
MA010120220806684244,맛있는,성수2가제1동,카페,디져트 종류 다양해요 딸기티라미수 맛있어요 추천! 여기 가세여,훔볼트,95.0
MA010120220806684244,커피,성수2가제1동,카페,커피앗있어요,훔볼트,51.0
MA010120220806684244,디저트,성수2가제1동,카페,성수동에서 신상 카페중 꽤 오래된 곳. 없어지지않고 잘 버티고 있어 감사하다. 오랜만에 갔는데 여전히 있어 좋았다 디저트들도 맛ㅇㅆ고,훔볼트,31.0
MA010120220806684244,넓은,성수2가제1동,카페,맛나고 매장 넓어서 조아요,훔볼트,
MA010120220806684244,케이크,성수2가제1동,카페,케이크 맛집이에요,훔볼트,19.0
MA010120220806684244,빵,성수2가제1동,카페,인절미팡도르와 딸기티라미수 먹었습니다ㅎ 인절미팡도르는 빵안에 슈크림도 들어있어서 짱맛!!,훔볼트,17.0
MA010120220806684244,음료,성수2가제1동,카페,손님이 적어서 시끄럽지는 않지만 이렇게 못생긴 육천원짜리 음료도 드물겠네요,훔볼트,16.0
MA010120220806684244,맛있는 커피,성수2가제1동,카페,커피 원두가 좋은거 같아요!! 빵도 맛있어요  지하1층의 재즈공연은 이제 하지않는거 같고 2층은 스터디를 할 수 있는 공간이 마련되어 있습니다,훔볼트,10.0
MA010120220806684244,분위기,성수2가제1동,카페,분위기 좋고 지하부터 2층까지 매장이 커요,훔볼트,10.0
MA010120220806684244,깨끗한,성수2가제1동,카페,동네에서 제일 좋아하는 커피숍입니다 디저트도 맛있고 깨끗하고 좋아요 ♡,훔볼트,8.0
MA010120220811954526,맛있는,성수1가제2동,일식,"맛있습니다!!! 너무 단지, 비쌀뿐!!!",훈연,89.0
MA010120220811954526,카이센동,성수1가제2동,일식,"평일 월요일 조금이른 저녁에 갔었어요! 다행히 웨이팅이 없어서 안심하고 들어갈려했는데 일행이 오지않아 입장을 못했어요 그사이 사람들 계속 입장하는걸 대기석에서 앉아서 보게 되니 속상했어요 강제 웨이팅,,, ㅠㅠ 그래도 카이센동먹었는데 눈녹듯이 맛있어서 금세 기분이 풀렸어요",훈연,26.0
MA010120220811954526,장어,성수1가제2동,일식,줄을 서서 먹을정돈 아닌데  비싸고 회는 별로고 훈연향 약하고  장어 양념 너무진함,훈연,13.0
MA010120220811954526,우나기동,성수1가제2동,일식,사케동 생각보다 양이 많았고 우나기동은 반마리도 충분한 것 같아요,훈연,13.0
MA010120220811954526,친절한,성수1가제2동,일식,친절하심 메뉴판은 사진이나 그림이 들어가면 더 좋을 듯,훈연,11.0
MA010120220811954526,기다린,성수1가제2동,일식,"저희가 들어온지 얼마되지 않아 옆테이블이 들어왔는데 오래 기다렸다고;;,음료수 서비스 나가고 똑같은 훈연동인데 다른게 더 들어가고.. 검정색장갑끼셨다고 먹을거랑 이것저것 만지시고.. 바에 앉아있어서 다 보이는데 처음부터 안보이면 모를까 .. 2시간 반 걸려서 18팀 기다렸는데 음료수 서비스 받는 안받는 문제가 아니라 다른사람들도 똑같이 많이 기다린건데 너무 기분이 나빴습니다.",훈연,
MA010120220811954526,신선한,성수1가제2동,일식,우니가 올라간 것이 특카이센동이고 날치알이 카이센동입니다. 카이센동 좋아해서 여기저기 많이 먹으러 다니는데 훈연만큼 합리적이고 퀄리티있는 곳은 찾아보기 힘든 것 같습니다. 2만원도 안되는 가격에 신선한 회가 듬뿍 올라가있고 함께 곁들이는 김도 리필해주시는 등 매우 서비스가 좋습니다. 밥을 반쯤 남기면 육수를 부어주셔서 오차즈케 먹는 기분도 낼 수 있구요 최고의 카이센동집이라고 생각합니다,훈연,9.0
MA0101202212A0043403,2차로 가기 좋은,성수1가제2동,주점,2차로 가기 좋아요,55주막,
MA010120220811954526,맛집,성수1가제2동,일식,인생 맛집! 웨이팅은 길지만 기다렸다가 먹을 가치가 있는 음식점입니다 ㅎㅎ 기다리는 동안 주변 구경할 곳이 많아서 괜찮았어요 음식도 정갈하고 전체적으로 만족하는 음식이에요ㅜㅜ 하이볼도 딱 완벽한 비율이에요 ㅠㅠ,훈연,9.0
MA010120220811954526,식사,성수1가제2동,일식,"성수동 데이트라, 미리 서치하고 알아보고 간건데 여친이 맘에들어하고 잘 먹어서 기분좋은 식사였어요. 이런곳이 있는줄 몰랐다면서,,ㅎㅎ 칭찬 받았네요.~  다음에 또 데리고 오겠습니다~~~~",훈연,7.0
MA010120220800458812,커피,성수1가제1동,카페,성수동 나가면 커피 마시는 곳,후프커피,15.0
MA010120220800458812,맛있는,성수1가제1동,카페,"사장님 너무 친절하시고, 라떼 진짜 무슨 일 .. 넘 마딧구요..  무엇보다 저 인생 태어나서 먹어본 버터바 중에서 젤 맛있는 고 같아요ㅠㅠㅠㅠㅠ 하나도 안 느끼하고 적당히 달고 고소해요 !!!  진짜 번창하세용 !!!  그리고 플레이리스트.. 미쳤습니당 ..  사장님 센스 무엇 ㅜㅜ  혼자 노래 검색해서 플레이리스트 추가했네염 ㅋㅋㅋㅋㅋ  담에 또 갈게요 ~~ ㅎㅎㅎㅎ   사장님 제가 진짜 똥손이라 사진을 못 찍어요",후프커피,11.0
MA010120220800458812,바,성수1가제1동,카페,"사장님 너무 친절하시고, 라떼 진짜 무슨 일 .. 넘 마딧구요..  무엇보다 저 인생 태어나서 먹어본 버터바 중에서 젤 맛있는 고 같아요ㅠㅠㅠㅠㅠ 하나도 안 느끼하고 적당히 달고 고소해요 !!!  진짜 번창하세용 !!!  그리고 플레이리스트.. 미쳤습니당 ..  사장님 센스 무엇 ㅜㅜ  혼자 노래 검색해서 플레이리스트 추가했네염 ㅋㅋㅋㅋㅋ  담에 또 갈게요 ~~ ㅎㅎㅎㅎ   사장님 제가 진짜 똥손이라 사진을 못 찍어요",후프커피,6.0
MA010120220800458812,버터,성수1가제1동,카페,"사장님 너무 친절하시고, 라떼 진짜 무슨 일 .. 넘 마딧구요..  무엇보다 저 인생 태어나서 먹어본 버터바 중에서 젤 맛있는 고 같아요ㅠㅠㅠㅠㅠ 하나도 안 느끼하고 적당히 달고 고소해요 !!!  진짜 번창하세용 !!!  그리고 플레이리스트.. 미쳤습니당 ..  사장님 센스 무엇 ㅜㅜ  혼자 노래 검색해서 플레이리스트 추가했네염 ㅋㅋㅋㅋㅋ  담에 또 갈게요 ~~ ㅎㅎㅎㅎ   사장님 제가 진짜 똥손이라 사진을 못 찍어요",후프커피,6.0
MA010120220800458812,후프,성수1가제1동,카페,오후완~~ 오늘도 후프 완료!! 버터바 맛집,후프커피,6.0
MA010120220800458812,친절한,성수1가제1동,카페,"사장님 너무 친절하시고, 라떼 진짜 무슨 일 .. 넘 마딧구요..  무엇보다 저 인생 태어나서 먹어본 버터바 중에서 젤 맛있는 고 같아요ㅠㅠㅠㅠㅠ 하나도 안 느끼하고 적당히 달고 고소해요 !!!  진짜 번창하세용 !!!  그리고 플레이리스트.. 미쳤습니당 ..  사장님 센스 무엇 ㅜㅜ  혼자 노래 검색해서 플레이리스트 추가했네염 ㅋㅋㅋㅋㅋ  담에 또 갈게요 ~~ ㅎㅎㅎㅎ   사장님 제가 진짜 똥손이라 사진을 못 찍어요",후프커피,4.0
MA010120220800458812,맛있는 커피,성수1가제1동,카페,커피 맛있어요~~,후프커피,3.0
MA010120220800458812,맛집,성수1가제1동,카페,오후완~~ 오늘도 후프 완료!! 버터바 맛집,후프커피,2.0
MA010120220800458812,버터바,성수1가제1동,카페,"사장님 너무 친절하시고, 라떼 진짜 무슨 일 .. 넘 마딧구요..  무엇보다 저 인생 태어나서 먹어본 버터바 중에서 젤 맛있는 고 같아요ㅠㅠㅠㅠㅠ 하나도 안 느끼하고 적당히 달고 고소해요 !!!  진짜 번창하세용 !!!  그리고 플레이리스트.. 미쳤습니당 ..  사장님 센스 무엇 ㅜㅜ  혼자 노래 검색해서 플레이리스트 추가했네염 ㅋㅋㅋㅋㅋ  담에 또 갈게요 ~~ ㅎㅎㅎㅎ   사장님 제가 진짜 똥손이라 사진을 못 찍어요",후프커피,2.0
MA010120220800458812,테이크아웃,성수1가제1동,카페,내 마음속 원픽은 역시 후프 테이크아웃 못참지,후프커피,2.0
MA010120220806706775,맛있는,성수2가제3동,일식,맛있어용,후라토식당 성수점,199.0
MA010120220806706775,규카츠,성수2가제3동,일식,오므라이스도맛잇어요~규카츠 바삭하고 양도넉넉하네요,후라토식당 성수점,74.0
MA010120220806706775,카츠,성수2가제3동,일식,오므라이스도맛잇어요~규카츠 바삭하고 양도넉넉하네요,후라토식당 성수점,73.0
MA010120220806706775,친절한,성수2가제3동,일식,아이들과 함께가기 좋은 식당이에요~ 음식도 맛있고 매장도 이쁘네요 매번 갈때마다 만족스러워요  서빙하시는 여직원분께서 너무 친절하셔서 새해 첫날 기분좋은 점심 시간였습니다,후라토식당 성수점,32.0
MA010120220806706775,오므라이스,성수2가제3동,일식,존맛탱 오므라이스 존맛탱!!! 번창하세요 ~~ 다음에 또 올게용,후라토식당 성수점,27.0
MA010120220806706775,고기,성수2가제3동,일식,덮밥류 전부 양념을 너무 많이 넣어서 전반적으로 다 짰어요. 고기집은 아니지만 화로로 구워서 먹는 식당인데 환기가 너무 안되서… 그 부분이 많이 아쉬웠습니다.. 후기보고 너무 기대를 많이 했네요,후라토식당 성수점,25.0
MA010120220806706775,부드러운,성수2가제3동,일식,오랜만에 성수낙낙 방문! 기대가 커서 그런지 으음.. 이런 느낌. 계란은 부드러운 편이지만 소스는 너무 시판용 느낌. 가격은 나쁘지 않았어요,후라토식당 성수점,22.0
MA010120220806706775,예약,성수2가제3동,일식,음식이 신선하고 맛도 너무좋고 직원분들이 친절해서 넘좋았습니다.다음에 또예약하고 갈게요,후라토식당 성수점,20.0
MA010120220806706775,맛있는 규카츠,성수2가제3동,일식,와... 오므라이스와 규카츠 너무 맛있네요ㅠㅠ,후라토식당 성수점,14.0
MA010120220806706775,네이버,성수2가제3동,일식,너무 맛있고 분위기도 좋고 !! 강추입니다  친구 생일파티때 저녁식사로 갔는데 네이버예약하고 가니 가라아게도 써비스로 주셨어요!!  또 갈게요^^,후라토식당 성수점,13.0
MA010120220809962228,맛있는,성수1가제1동,패스트푸드,눈꽃치즈맛있어요,후라이드참잘하는집 성수점,36.0
MA010120220809962228,후라이드,성수1가제1동,패스트푸드,후라이드맛집,후라이드참잘하는집 성수점,11.0
MA010120220809962228,치킨,성수1가제1동,패스트푸드,항상 자주 시켜 먹는 치킨가게에요,후라이드참잘하는집 성수점,8.0
MA010120220809962228,가성비,성수1가제1동,패스트푸드,울동네 착한 맛집  맛 좋아요 가격 착해요 더 이상 바랄께 있나요 ㅎ 푸쉘은 전화로 주문해놓고 직접 픽업해오니  정말로 더욱 가성비 짱 이라 생각합니다 더욱더 승승장구를 응원합니다,후라이드참잘하는집 성수점,7.0
MA010120220809962228,포장,성수1가제1동,패스트푸드,포장 가격 매우 저렴하고 서울숲에서 먹기 좋았어요!,후라이드참잘하는집 성수점,5.0
MA010120220809962228,저렴한,성수1가제1동,패스트푸드,저렴한가격에 아주 맛있게 잘 먹었습니다,후라이드참잘하는집 성수점,4.0
MA010120220809962228,가성비 좋은,성수1가제1동,패스트푸드,맛도있고 가성비 좋아요,후라이드참잘하는집 성수점,4.0
MA010120220809962228,깨끗한,성수1가제1동,패스트푸드,깨끗하고 맛있어요,후라이드참잘하는집 성수점,3.0
MA010120220809962228,양념,성수1가제1동,패스트푸드,여기 후라이드 짱맛.. 매운 양념도 짱맛..,후라이드참잘하는집 성수점,3.0
MA010120220809962228,맛있는 치킨,성수1가제1동,패스트푸드,치킨 맛있어요,후라이드참잘하는집 성수점,3.0
MA010120220803764741,맛있는,성수1가제1동,주점,맛있었어요,후다닭Q 본점,17.0
MA010120220803764741,치킨,성수1가제1동,주점,옛날 치킨스따일 화장실이 밖에 있어서 싫었는데 생각보다 깨끗해서 좋았음,후다닭Q 본점,10.0
MA010120220803764741,골뱅이,성수1가제1동,주점,치킨 맛있고 골뱅이 무침도 맛있게 잘 먹었습니다. 특히 옥수수면이 끝까지 불지 않아서 좋았습니다. 단 모기가 좀 있어서 신경이 쓰이긴 핬습니다.,후다닭Q 본점,4.0
MA010120220803764741,감자,성수1가제1동,주점,바삭한 튀김옷에 넘넘 맛있는 치킨~ 포슬포슬 감자도 맛있어요.,후다닭Q 본점,3.0
MA010120220803764741,단체 모임,성수1가제1동,주점,가성비가 좋고 단체모임하기 좋아요. 다만 손님이 많을 때 가서 그런지 불친절하셔서 아쉬웠습니다.,후다닭Q 본점,3.0
MA010120220803764741,옥수수,성수1가제1동,주점,치킨 맛있고 골뱅이 무침도 맛있게 잘 먹었습니다. 특히 옥수수면이 끝까지 불지 않아서 좋았습니다. 단 모기가 좀 있어서 신경이 쓰이긴 핬습니다.,후다닭Q 본점,2.0
MA010120220803764741,튀김,성수1가제1동,주점,바삭한 튀김옷에 넘넘 맛있는 치킨~ 포슬포슬 감자도 맛있어요.,후다닭Q 본점,2.0
MA010120220803764741,후라이드,성수1가제1동,주점,후라이드 치킨이 정말 맛있어요!  골뱅이랑 옥수수면도 넘 맛있어요,후다닭Q 본점,2.0
MA010120220803764741,소면,성수1가제1동,주점,골뱅ㅇ소면꼭먹어라ㅡ,후다닭Q 본점,2.0
MA010120220803764741,바삭,성수1가제1동,주점,바삭한 튀김옷에 넘넘 맛있는 치킨~ 포슬포슬 감자도 맛있어요.,후다닭Q 본점,2.0
MA010120220813453393,맛있는,성수2가제3동,한식,두번째 방문이에요.정말 맛있습니다. 번창하세요,효자동목고기,60.0
MA010120220813453393,고기,성수2가제3동,한식,회사 근처에 맛집 찾다가 방문했어요~! 제주산 고기라그런지 진짜 고기가 실하고 신선하더라구요 사장님이 고기도 직접 맛있게 구워주셔서 똥손인 저희는 너무 잘 먹을수있었습니다~~,효자동목고기,47.0
MA010120220813453393,치즈,성수2가제3동,한식,"엔초비 꼭 추가하세요 삼겹살에 엔초비라니 그것도 올리브유가 아니라 고추기름에 절인 맛있는 엔초비. 아 대박이었어요.  삼겹살이랑 엔초비라니!!! 엔초비시키기 전에도 고기랑 반찬 , 음식이 전체적으로 너무 맛있어서 엔초비를 시켜봄. 삼겹에 엔초비 올려 한 입 먹으니 지금도 짜꾸만 생각남 ㅠㅠ  목살 다른집보다 고급스럽게 맛있는 느낌이구 전체적으로 완전 다 맛있었어요.  짜글이 특히 대박이고( 밥들어 감) 치즈 파인애플 삼합도 맛있구 그낭 반찬부터 하나 같이 다 맛있었던 집이에요. 다음엔 남친이랑 또 갈게여!!!",효자동목고기,19.0
