업종,가게명,상가업소번호,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율,리뷰수,wordcloud,barchart,photo,
동남아시아,반타이,MA010120220808699965,4.2,-0.37,8.33,38,1923,서울특별시 종로구 율곡로 65,가회동,37.577234,126.986454,100,24,https://public.tableau.com/shared/6TTBB85QT?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/YFGB2WTDC?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200229_100%2F1582951340701hqjuA_JPEG%2FDiMwJyD-0n9AXif6BG1rbiIn.jpeg.jpg,
동남아시아,화양연화,MA010120220808443747,3.8,-0.5,7.41,168,3035,서울특별시 종로구 계동길 73-1,가회동,37.580564,126.986691,96.3,27,https://public.tableau.com/shared/K9XZCRY69?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/8JTDR459T?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MjNfMTk3%2FMDAxNjg0ODQ3OTMzMzEy.lzYuiMPoux4biGQW84m7ohJuCOGoRpIWPyLvIQwYkfog.LdyBLmTASJ9DDdc069Y6nR9d-1us2_J5w_L120Z5QZog.JPEG%2F12E19A9E-36A9-43BE-BD9C-C200D9874793.jpeg,
동남아시아,비엣 꽌,MA010120220800040531,3.6,-0.43,26.09,26,4425,서울특별시 종로구 북촌로4길 20,가회동,37.579168,126.986201,95.7,23,https://public.tableau.com/shared/XYWTY4D6F?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/ZRX5S6H49?:display_count=n&:origin=viz_share_link,https://d2uja84sd90jmv.cloudfront.net/posts/8mvCUF8M5UHEvdWIgr_YaQ/m.jpg,
동남아시아,제이네,MA010120220813606455,0,-0.32,0,0,134,서울특별시 종로구 율곡로1길 74-13,삼청동,37.57874,126.981831,91.3,23,https://public.tableau.com/shared/PDTS4GXSK?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/46P7FQ42C?:display_count=n&:origin=viz_share_link,"https://mp-seoul-image-production-s3.mangoplate.com/791856_1659081357832942.jpg?fit=around%7C512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",
동남아시아,머노까머나 신촌점,MA010120220803930832,3.6,0.66,5.68,67,517,서울특별시 서대문구 연세로11길 13,신촌동,37.558838,126.93603,100,88,https://public.tableau.com/shared/4YMSRZ9PW?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/5RXRWMDYZ?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221205_76%2F1670226790248c2rUo_JPEG%2FPro-Capture-One-0122_%25BA%25B8%25C1%25A4.jpg,
동남아시아,맘맘테이블,MA010120220809871590,4.4,-0.07,21.15,29,3342,서울특별시 서대문구 연세로4길 33,신촌동,37.557776,126.938408,100,52,https://public.tableau.com/shared/NDG6MXHFG?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/BXY28HJ9M?:display_count=n&:origin=viz_share_link,https://d2uja84sd90jmv.cloudfront.net/posts/CdprCqskpuXP2ngqgZ5JHw/m.jpg,
동남아시아,아마,MA010120220800580738,3.8,0.46,2.44,114,750,서울특별시 서대문구 연세로7길 24,신촌동,37.55782,126.93544,100,41,https://public.tableau.com/shared/97FDH9H3D?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/MRD6FJ33S?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160416_194%2F1460792419377PAIGx_JPEG%2F176366567038027_0.jpeg,
동남아시아,포히엔베트남쌀국수,MA0101202209A0092906,0,-0.36,33.33,0,0,서울특별시 서대문구 이화여대3길 2,신촌동,37.558129,126.945547,100,21,https://public.tableau.com/shared/DN88KPCBN?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/9CBQBNTH9?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MjBfNjYg%2FMDAxNjg0NTcwMzg5NzY0.LDNbGrcJ2g4JkeF9wcAu3J75Ti-RUaQHDYCNkwaB-VIg.UNzHUeXmo5TH49NhOKUZCw6372G0Fz3m6AprE1cfGH0g.JPEG%2F1684570349937.jpg,
동남아시아,전티마이베트남쌀국수 이화여대점,MA010120220814278735,0,-0.69,50,0,0,서울특별시 서대문구 이화여대길 59,신촌동,37.558987,126.945159,100,16,https://public.tableau.com/shared/496TSHNJD?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/HCZ9527PC?:display_count=n&:origin=viz_share_link,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA1MjNfMTcz%2FMDAxNjg0ODIyMjM4MDk4.HBtPQkZTDzD8RZLueEyOpKuLwy8dtWWPfhkc-kv24Zwg.SvugM-reg-gSWJe8SVpeCuko7Fnd5jqNUaGJAzHFmEcg.JPEG.whd_0114%2F20221002%25A3%25DF172303.jpg,
동남아시아,포메인 신촌점,MA010120220800996612,0,-0.32,23.08,0,0,서울특별시 서대문구 연세로 37,신촌동,37.558873,126.936683,100,13,https://public.tableau.com/shared/D74CDSJJZ?:display_count=n&:origin=viz_share_link,https://public.tableau.com/shared/PFRY9X3G8?:display_count=n&:origin=viz_share_link,https://img.siksinhot.com/place/1510836632834002.png?c=Y&w=748&h=478,
