상가업소번호,가게명,업종,점수,리뷰증가율,재방문,좋아요,찜,주소,행정동,위도,경도,긍정 리뷰 비율
MA010120220809686696,탕화쿵푸마라탕 성수동지점,중식,0.0,-0.43,48.65,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,96.6
MA010120220811916710,밥플러스 6호점,한식,0.0,-0.38,28.57,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,100.0
MA010120220813137824,대박낙소 성수점,한식,0.0,3.0,30.77,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,91.7
MA010120220800218979,예바다,한식,0.0,-0.12,60.0,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,100.0
MA010120220802886727,천미향,중식,0.0,-0.53,22.22,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,88.9
MA010120220803531286,샐러디 성수점,카페,0.0,-0.31,37.5,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,91.7
MA010120220805410197,찐미 숯불구이,한식,0.0,0.33,57.14,0,0,서울특별시 성동구 성수일로10길 26,성수2가제3동,37.546586,127.052953,100.0
MA010120220814115677,바인,주점,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로11길 10,성수1가제2동,37.549194,127.050573,100.0
MA010120220801516814,에이치커피로스터스,카페,0.0,-0.5,0.0,0,0,서울특별시 성동구 성수일로11길 10,성수1가제2동,37.549194,127.050573,100.0
MA010120220812104763,per week,서양식,0.0,-0.33,25.0,0,0,서울특별시 성동구 성수일로11길 11,성수1가제2동,37.549231,127.050229,100.0
MA010120220800260418,봉짬뽕,중식,0.0,-0.67,33.33,0,0,서울특별시 성동구 성수일로11길 11,성수1가제2동,37.549231,127.050229,100.0
MA010120220800042852,누아흐,카페,0.0,1.69,36.11,0,0,서울특별시 성동구 성수일로11길 15,성수1가제2동,37.549497,127.049828,100.0
MA010120220809649606,소바짐,일식,0.0,2.0,33.33,0,0,서울특별시 성동구 성수일로11길 6-1,성수1가제2동,37.548995,127.050782,83.3
MA010120220813633314,코시나,서양식,0.0,-0.67,0.0,0,0,서울특별시 성동구 성수일로11길 8,성수1가제2동,37.549101,127.050677,66.7
MA010120220806794001,호루몬규상,한식,0.0,14.67,2.82,0,0,서울특별시 성동구 성수일로12길 14,성수2가제3동,37.548634,127.052701,99.3
MA0101202212A0085404,빌로위 성수,카페,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로12길 15,성수2가제3동,37.54869,127.05294,100.0
MA010120220803728360,남원콩나물국밥,한식,0.0,0.5,0.0,0,0,서울특별시 성동구 성수일로12길 16-1,성수2가제3동,37.548515,127.052857,100.0
MA0101202210A0059891,어피스앤드피스,카페,0.0,0.09,16.22,0,0,서울특별시 성동구 성수일로12길 17,성수2가제3동,37.548565,127.053196,100.0
MA010120220805187040,예셰숄,카페,0.0,-0.14,42.86,0,0,서울특별시 성동구 성수일로12길 18-1,성수2가제3동,37.548385,127.053137,100.0
MA010120220804399118,성수식당,한식,0.0,0.25,60.0,0,0,서울특별시 성동구 성수일로12길 19-1,성수2가제3동,37.54844,127.053436,100.0
MA010120220800227617,고기다 성수점,한식,0.0,0.55,61.11,0,0,서울특별시 성동구 성수일로12길 20,성수2가제3동,37.548175,127.053251,100.0
MA010120220803765367,또와,한식,0.0,0.5,50.0,0,0,서울특별시 성동구 성수일로12길 20,성수2가제3동,37.548175,127.053251,100.0
MA010120220812441548,어퍼룸,카페,0.0,0.2,19.05,0,0,서울특별시 성동구 성수일로12길 21,성수2가제3동,37.548378,127.053587,100.0
MA010120220810962357,전자방,중식,0.0,0.56,0.0,0,0,서울특별시 성동구 성수일로12길 23,성수2가제3동,37.548307,127.053713,94.9
MA010120220803768010,금돼지,한식,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로12길 25,성수2가제3동,37.548202,127.053892,0.0
MA010120220803774423,엄마네냄비밥,한식,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로12길 25,성수2가제3동,37.548202,127.053892,0.0
MA010120220803759724,일미돼지국밥,한식,0.0,-0.43,0.0,0,0,서울특별시 성동구 성수일로12길 30,성수2가제3동,37.547713,127.054201,87.5
MA010120220803755218,동맛골보쌈칼국수,한식,0.0,0.14,37.5,0,0,서울특별시 성동구 성수일로12길 32,성수2가제3동,37.547673,127.054312,100.0
MA010120220803753041,성수동양갈비,한식,0.0,0.67,20.0,0,0,서울특별시 성동구 성수일로12길 33,성수2가제3동,37.547736,127.054661,100.0
MA010120220803769611,성수낙지,한식,0.0,0.25,16.67,0,0,서울특별시 성동구 성수일로12길 34,성수2가제3동,37.54756,127.054449,100.0
MA010120220803767495,탕 김치찌개,한식,0.0,1.8,50.0,0,0,서울특별시 성동구 성수일로12길 36,성수2가제3동,37.547507,127.054651,100.0
MA010120220808200343,dyscoffee,카페,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로12길 42,성수2가제3동,37.547148,127.055217,0.0
MA010120220811853786,새촌식탁,일식,0.0,-0.57,0.0,0,0,서울특별시 성동구 성수일로1길 16,성수1가제1동,37.542144,127.046904,100.0
MA010120220807724980,퀴바라,주점,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로1길 18,성수1가제1동,37.542205,127.046816,100.0
MA010120220814076696,록멘,일식,0.0,0.59,17.78,0,0,서울특별시 성동구 성수일로3길 2,성수1가제1동,37.542115,127.048554,95.3
MA010120220807203020,민티베리,카페,0.0,3.0,0.0,0,0,서울특별시 성동구 성수일로3길 3-16,성수1가제1동,37.541742,127.048143,100.0
MA010120220806639704,바탕,한식,0.0,0.5,0.0,0,0,서울특별시 성동구 성수일로3길 5-12,성수1가제1동,37.541924,127.047969,100.0
MA010120220808659267,퍼멘티드 고스트,패스트푸드,0.0,-0.68,42.86,0,0,서울특별시 성동구 성수일로3길 5-12,성수1가제1동,37.541924,127.047969,100.0
MA010120220809683365,모호인,카페,0.0,1.0,0.0,0,0,서울특별시 성동구 성수일로3길 5-15,성수1가제1동,37.541795,127.048075,100.0
MA010120220803148695,메모레,카페,0.0,2.0,0.0,0,0,서울특별시 성동구 성수일로3길 7,성수1가제1동,37.542168,127.047818,100.0
MA010120220812232887,새촌131,카페,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로3길 7-1,성수1가제1동,37.542127,127.047961,0.0
MA0101202210A0069439,더블하이트 갤러리카페,카페,0.0,2.25,23.08,0,0,서울특별시 성동구 성수일로4가길 10,성수2가제1동,37.541678,127.054635,92.3
MA010120220814110828,창창커피,카페,0.0,-0.41,53.85,0,0,서울특별시 성동구 성수일로4가길 2,성수2가제1동,37.542096,127.054067,100.0
MA0101202211A0075107,조디악,주점,0.0,38.0,0.0,0,0,서울특별시 성동구 성수일로4가길 7,성수2가제1동,37.541913,127.054637,100.0
MA010120220806257147,서울왕돈까스 성수점,한식,0.0,0.5,25.0,0,0,서울특별시 성동구 성수일로4길 25,성수2가제1동,37.542506,127.051866,91.7
MA010120220813714251,회사식당,한식,0.0,0.1,66.67,0,0,서울특별시 성동구 성수일로4길 25,성수2가제1동,37.542506,127.051866,100.0
MA010120220813661202,매머드익스프레스 서울숲코오롱1차점,카페,0.0,-0.07,68.97,0,0,서울특별시 성동구 성수일로4길 25,성수2가제1동,37.542506,127.051866,96.2
MA010120220802910916,라스베이글 성수점,카페,0.0,-0.45,16.67,0,0,서울특별시 성동구 성수일로4길 25,성수2가제1동,37.542506,127.051866,100.0
MA010120220803767414,도토루커피os,카페,0.0,0.64,73.68,0,0,서울특별시 성동구 성수일로4길 31-1,성수2가제1동,37.54215,127.052205,100.0
MA010120220803514733,카페 뮤,카페,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로4길 33,성수2가제1동,37.542144,127.05247,0.0
MA010120220804407869,부뚜막,한식,0.0,-0.45,66.67,0,0,서울특별시 성동구 성수일로4길 33-1,성수2가제1동,37.542134,127.052643,100.0
MA010120220808009974,하루나,한식,0.0,0.2,50.0,0,0,서울특별시 성동구 성수일로4길 37,성수2가제1동,37.542138,127.052935,83.3
MA010120220813052916,호칼국수 성수점,한식,0.0,0.64,16.67,0,0,서울특별시 성동구 성수일로4길 45,성수2가제1동,37.542322,127.053827,100.0
MA010120220803758820,ONE BEAN카페,카페,0.0,0.26,91.94,0,0,서울특별시 성동구 성수일로4길 45,성수2가제1동,37.542322,127.053827,100.0
MA010120220808105359,도담순대국 성수본점,한식,0.0,-0.21,15.0,0,0,서울특별시 성동구 성수일로4길 46,성수2가제1동,37.542137,127.053886,100.0
MA010120220809264281,우리칼국수,한식,0.0,-0.15,23.53,0,0,서울특별시 성동구 성수일로4길 46,성수2가제1동,37.542137,127.053886,100.0
MA010120220804535677,나미 곰식당,한식,0.0,0.23,39.29,0,0,서울특별시 성동구 성수일로4길 48,성수2가제1동,37.54226,127.054054,100.0
MA010120220811888332,힘이나는커피생활 성수3호점,카페,0.0,0.22,56.41,0,0,서울특별시 성동구 성수일로4길 48-2,성수2가제1동,37.542329,127.054081,97.4
MA010120220803241688,세밀,서양식,0.0,0.09,10.0,0,0,서울특별시 성동구 성수일로4길 48-2,성수2가제1동,37.542329,127.054081,100.0
MA010120220803747581,돈앤돈 성수점,한식,0.0,0.41,0.0,0,0,서울특별시 성동구 성수일로4길 50,성수2가제1동,37.542433,127.054127,66.7
MA010120220806783630,글리머,주점,0.0,-0.62,0.0,0,0,서울특별시 성동구 성수일로6길 47,성수2가제3동,37.544299,127.055243,100.0
MA010120220812967769,일일향 성수10호점,중식,0.0,-0.07,36.07,0,0,서울특별시 성동구 성수일로6길 47,성수2가제3동,37.544299,127.055243,87.7
MA010120220813350829,명가닭한마리,주점,0.0,-0.31,33.33,0,0,서울특별시 성동구 성수일로8길 39,성수2가제3동,37.545778,127.0548,88.9
MA010120220801082700,정참치,일식,0.0,0.5,0.0,0,0,서울특별시 성동구 성수일로8길 39,성수2가제3동,37.545778,127.0548,100.0
MA010120220804543394,미각짬뽕양꼬치,한식,0.0,-0.4,85.71,0,0,서울특별시 성동구 성수일로8길 39,성수2가제3동,37.545778,127.0548,100.0
MA010120220805092354,이트앤드링크,카페,0.0,-0.5,30.0,0,0,서울특별시 성동구 성수일로8길 39-1,성수2가제3동,37.545755,127.055016,100.0
MA010120220810134427,아웃오브타임,주점,0.0,0.5,11.11,0,0,서울특별시 성동구 성수일로8길 40,성수2가제3동,37.545563,127.054599,100.0
MA010120220803756391,일루오리,한식,0.0,-0.62,33.33,0,0,서울특별시 성동구 성수일로8길 40,성수2가제3동,37.545563,127.054599,100.0
MA010120220813135946,무근본,주점,0.0,1.1,0.0,0,0,서울특별시 성동구 성수일로8길 40-1,성수2가제3동,37.545415,127.054707,85.7
MA0101202302A0101216,우야꼬칼국수파전,한식,0.0,0.0,0.0,0,0,서울특별시 성동구 성수일로8길 41,성수2가제3동,37.545626,127.055005,92.3
MA010120220806758465,성수시루,카페,0.0,0.04,8.33,0,0,서울특별시 성동구 성수일로8길 42,성수2가제3동,37.545354,127.055045,100.0
MA010120220810452494,란칼국수,한식,0.0,-0.54,23.08,0,0,서울특별시 성동구 성수일로8길 42,성수2가제3동,37.545354,127.055045,100.0
MA010120220811782842,크레송,카페,0.0,0.33,75.0,0,0,서울특별시 성동구 성수일로8길 47,성수2가제3동,37.545825,127.055471,100.0
MA010120220803780095,용이네,분식,0.0,0.5,59.38,0,0,서울특별시 성동구 성수일로8길 5,성수2가제3동,37.546987,127.052154,90.0
MA010120220803779502,송가,중식,0.0,1.33,57.14,0,0,서울특별시 성동구 성수일로8길 5,성수2가제3동,37.546987,127.052154,85.7
MA010120220807132447,팔각도 성수역점,한식,0.0,-0.34,6.15,0,0,서울특별시 성동구 성수일로8길 53,성수2가제3동,37.545286,127.05645,100.0
MA010120220813276050,위풍당당족발,한식,0.0,-0.58,8.33,0,0,서울특별시 성동구 성수일로8길 53,성수2가제3동,37.545286,127.05645,80.0
MA010120220814284941,다모토리혼,한식,0.0,1.78,4.0,0,0,서울특별시 성동구 성수일로8길 53,성수2가제3동,37.545286,127.05645,96.0
MA010120220803747260,맛보래,한식,0.0,0.83,27.27,0,0,서울특별시 성동구 성수일로8길 53,성수2가제3동,37.545286,127.05645,100.0
MA0101202302A0052490,조조칼국수 성수점,한식,0.0,118.0,7.56,0,0,서울특별시 성동구 성수일로8길 55,성수2가제3동,37.545242,127.056686,98.3
MA010120220810490733,박가객주,주점,0.0,1.0,50.0,0,0,서울특별시 성동구 성수일로8길 60,성수2가제3동,37.544878,127.05682,100.0
MA010120220802779373,풍조미역 성수본점,한식,0.0,0.75,21.43,0,0,서울특별시 성동구 성수일로8길 60,성수2가제3동,37.544878,127.05682,100.0
MA010120220802947478,교대이층집 성수점,한식,0.0,-0.14,68.75,0,0,서울특별시 성동구 성수일로8길 60,성수2가제3동,37.544878,127.05682,91.7
MA010120220813440132,어묵나라,일식,0.0,-0.24,53.19,0,0,서울특별시 성동구 아차산로 100,성수2가제3동,37.544502,127.05609,94.9
MA010120220808602063,보끔당 성수점,한식,0.0,-0.19,12.26,0,0,서울특별시 성동구 아차산로 103,성수2가제3동,37.545048,127.055814,100.0
MA010120220814207284,스케줄 성수,서양식,0.0,0.08,3.51,0,0,서울특별시 성동구 아차산로 104,성수2가제3동,37.544441,127.055458,94.7
MA010120220809724344,뚝배기양평해장국 성수점,한식,0.0,0.08,21.43,0,0,서울특별시 성동구 아차산로 110,성수2가제3동,37.544193,127.056161,100.0
MA0101202301A0036886,써브웨이 성수역점,패스트푸드,0.0,0.2,51.58,0,0,서울특별시 성동구 아차산로 113,성수2가제3동,37.544692,127.056933,91.1
MA010120220807565397,토끼와거북전,한식,0.0,-0.44,33.33,0,0,서울특별시 성동구 아차산로 116,성수2가제3동,37.544042,127.056628,100.0
MA010120220808906916,이가네양꼬치 성수직영점,중식,0.0,0.41,16.13,0,0,서울특별시 성동구 아차산로 116,성수2가제3동,37.544042,127.056628,96.8
MA010120220809920778,전통숯불꼼장어,한식,0.0,-0.29,0.0,0,0,서울특별시 성동구 아차산로 116,성수2가제3동,37.544042,127.056628,100.0
MA010120220803503541,원샷치킨,주점,0.0,0.25,20.0,0,0,서울특별시 성동구 아차산로 116,성수2가제3동,37.544042,127.056628,80.0
MA010120220811500684,세광양대창 성수점,한식,0.0,-0.32,0.0,0,0,서울특별시 성동구 아차산로 122,성수2가제3동,37.543875,127.05748,100.0
MA010120220804400988,국일돼지왕갈비생삼겹살,한식,0.0,-0.62,0.0,0,0,서울특별시 성동구 아차산로 122,성수2가제3동,37.543875,127.05748,66.7
MA010120220806553141,이탈리안 누들,서양식,0.0,-0.5,40.0,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,80.0
MA010120220808207022,오늘애김밥 성수역점,분식,0.0,-0.5,35.48,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,96.6
MA010120220808428258,소안도풍경,한식,0.0,0.29,0.0,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,77.8
MA010120220811501753,성수BONE 성수동한우짝갈비,한식,0.0,0.0,25.0,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,100.0
MA010120220813784886,퍼틴 성수점,동남아시아,0.0,-0.27,29.17,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,89.5
MA0101202302A0001741,마르코웤스,카페,0.0,0.82,65.0,0,0,서울특별시 성동구 아차산로 126,성수2가제3동,37.543497,127.058053,95.0
MA010120220803771211,우영푸드빌,한식,0.0,-0.17,80.0,0,0,서울특별시 성동구 아차산로 144,성수2가제3동,37.543118,127.059609,100.0
MA0101202209A0019751,카페리빈 성수점,카페,0.0,0.0,0.0,0,0,서울특별시 성동구 아차산로 153,성수2가제3동,37.543434,127.06101,0.0
MA010120220803328297,어묵나라 뚝섬점,분식,0.0,-0.13,28.57,0,0,서울특별시 성동구 아차산로 18,성수1가제2동,37.547188,127.047365,97.0
MA010120220814270514,윤경,일식,0.0,0.14,8.33,0,0,서울특별시 성동구 아차산로 3,성수1가제2동,37.548377,127.045397,95.8
MA010120220802834840,데이앤데이 뚝섬역점,카페,0.0,2.4,17.65,0,0,서울특별시 성동구 아차산로 38,성수1가제2동,37.546425,127.048501,94.1
MA0101202212A0020164,죽이야기 서울 뚝섬역점,한식,0.0,-0.19,40.0,0,0,서울특별시 성동구 아차산로 42,성수1가제2동,37.546426,127.049094,94.1
MA010120220812052864,뚝도살롱,주점,0.0,0.9,27.12,0,0,서울특별시 성동구 아차산로 46,성수1가제2동,37.54631,127.049378,98.3
MA010120220805378019,빽다방 뚝섬역점,카페,0.0,0.12,37.5,0,0,서울특별시 성동구 아차산로 48,성수1가제2동,37.546314,127.049509,100.0
MA010120220806158100,토마토김밥 뚝섬역점,분식,0.0,-0.17,44.44,0,0,서울특별시 성동구 아차산로 49,성수1가제2동,37.546789,127.050038,96.0
MA010120220806620084,본말감자탕 뚝섬역점,한식,0.0,4.44,9.43,0,0,서울특별시 성동구 아차산로 49,성수1가제2동,37.546789,127.050038,81.6
MA010120220808488055,파스쿠찌 서울숲점,카페,0.0,0.38,8.33,0,0,서울특별시 성동구 아차산로 49,성수1가제2동,37.546789,127.050038,90.9
MA010120220808545918,매머드익스프레스 뚝섬역점,카페,0.0,-0.28,61.76,0,0,서울특별시 성동구 아차산로 49,성수1가제2동,37.546789,127.050038,96.6
MA010120220803762426,전주콩나물국밥,한식,0.0,-0.48,42.86,0,0,서울특별시 성동구 아차산로 50-1,성수1가제2동,37.546237,127.049778,100.0
MA010120220811858702,맛부,한식,0.0,0.67,0.0,0,0,서울특별시 성동구 아차산로 67-16,성수2가제3동,37.546472,127.051414,100.0
MA010120220812960830,더키더키,한식,0.0,1.33,0.0,0,0,서울특별시 성동구 아차산로 82,성수2가제3동,37.545104,127.053162,85.7
MA010120220812421834,쿠키샾,카페,0.0,-0.02,21.57,0,0,서울특별시 성동구 아차산로 84,성수2가제3동,37.545059,127.053426,98.0
MA010120220811824388,하남돼지집 성수역점,한식,0.0,0.17,0.0,0,0,서울특별시 성동구 아차산로 85,성수2가제3동,37.545582,127.053683,85.7
MA010120220812949640,걸작떡볶이치킨 성수점,분식,0.0,0.12,0.0,0,0,서울특별시 성동구 아차산로 87,성수2가제3동,37.545461,127.054007,100.0
MA010120220803731250,독도사랑 막회,한식,0.0,0.27,31.58,0,0,서울특별시 성동구 아차산로 87,성수2가제3동,37.545461,127.054007,100.0
MA010120220803728751,삼천만활어횟집,한식,0.0,0.5,0.0,0,0,서울특별시 성동구 아차산로 87,성수2가제3동,37.545461,127.054007,100.0
MA010120220804405993,을지로골뱅이,주점,0.0,0.0,0.0,0,0,서울특별시 성동구 아차산로 87,성수2가제3동,37.545461,127.054007,0.0
MA010120220811076642,고운 돈카츠,서양식,0.0,-0.38,19.23,0,0,서울특별시 성동구 아차산로 92,성수2가제3동,37.544752,127.054243,100.0
MA010120220805983902,광장족발 본가,한식,0.0,-0.48,25.0,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,100.0
MA010120220810131656,쭈전부리,한식,0.0,0.71,16.67,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,100.0
MA010120220802078265,황금어장,한식,0.0,-0.64,12.5,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,100.0
MA010120220803773035,청춘고깃간,한식,0.0,-0.59,7.69,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,84.6
MA010120220803728336,닭한마리,한식,0.0,-0.17,13.33,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,93.3
MA010120220803735795,행운호프,주점,0.0,0.5,33.33,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,100.0
MA010120220804687736,홍콩반점0410 성수역점,중식,0.0,0.29,34.04,0,0,서울특별시 성동구 아차산로 96,성수2가제3동,37.544628,127.054672,96.4
MA010120220808056825,달래해장 성수점,한식,0.0,-0.02,14.81,0,0,서울특별시 성동구 아차산로 97,성수2가제3동,37.545233,127.055125,92.2
MA010120220813148633,투파인드피터 서울성수점,서양식,0.0,2.45,3.81,0,0,서울특별시 성동구 아차산로 97,성수2가제3동,37.545233,127.055125,99.0
MA010120220803238674,역전할머니맥주 성수점,주점,0.0,-0.53,21.43,0,0,서울특별시 성동구 아차산로 97,성수2가제3동,37.545233,127.055125,100.0
MA010120220803750835,행운식당,한식,0.0,-0.12,46.67,0,0,서울특별시 성동구 아차산로11길 11,성수2가제3동,37.544777,127.059348,100.0
MA010120220803761780,굴국밥현이네,한식,0.0,3.0,37.5,0,0,서울특별시 성동구 아차산로11길 11,성수2가제3동,37.544777,127.059348,100.0
MA010120220803773720,카페조이,카페,0.0,-0.14,33.33,0,0,서울특별시 성동구 아차산로11길 11,성수2가제3동,37.544777,127.059348,100.0
