행정동,업종,키워드,갯수
가회동,동남아시아,가게,1
가회동,동남아시아,가면,1
가회동,동남아시아,개,1
가회동,동남아시아,단점,1
가회동,동남아시아,많다,1
가회동,동남아시아,맛있는,3
가회동,동남아시아,맛집,1
가회동,동남아시아,뭔가,1
가회동,동남아시아,베트남,1
가회동,동남아시아,볶음,1
가회동,동남아시아,볶음밥,2
가회동,동남아시아,생각,1
가회동,동남아시아,쌀국수,1
가회동,동남아시아,씨유,1
가회동,동남아시아,아쉬운,1
가회동,동남아시아,안되다,1
가회동,동남아시아,좋다,3
가회동,동남아시아,지하,1
가회동,동남아시아,커리,2
가회동,동남아시아,팟,1
가회동,동남아시아,팟타이,2
가회동,동남아시아,현지,1
가회동,동남아시아,환기,1
가회동,분식,괜찮다,1
가회동,분식,김밥,3
가회동,분식,넘다,1
가회동,분식,니,1
가회동,분식,떡볶이,1
가회동,분식,라면,1
가회동,분식,맛있는,3
가회동,분식,봉지,1
가회동,분식,분식집,1
가회동,분식,손,1
가회동,분식,손님,1
가회동,분식,손잡이,1
가회동,분식,신경질,1
가회동,분식,실,1
가회동,분식,아쉬운,1
가회동,분식,아침,1
가회동,분식,안주,1
가회동,분식,야하다,1
가회동,분식,양적,1
가회동,분식,열무,1
가회동,분식,이지,1
가회동,분식,자극,1
가회동,분식,잡고,1
가회동,분식,적다,2
가회동,분식,정갈하다,1
가회동,분식,젖다,1
가회동,분식,종류,1
가회동,분식,좋다,3
가회동,분식,주다,1
가회동,분식,참치,1
가회동,분식,치즈,1
가회동,분식,튀김,1
가회동,분식,혼밥,1
가회동,서양식,가성,1
가회동,서양식,가지,1
가회동,서양식,감사하다,1
가회동,서양식,갓,1
가회동,서양식,계란,1
가회동,서양식,고기,1
가회동,서양식,귀여운,1
가회동,서양식,근데,2
가회동,서양식,기준,1
가회동,서양식,다니다,1
가회동,서양식,달다,1
가회동,서양식,담배,1
가회동,서양식,답,1
가회동,서양식,대기,1
가회동,서양식,대비,1
가회동,서양식,돈까스,1
가회동,서양식,되어다,1
가회동,서양식,드럽다,1
가회동,서양식,들어가다,1
가회동,서양식,디너,1
가회동,서양식,런치,1
가회동,서양식,레스토랑,1
가회동,서양식,만들다,1
가회동,서양식,많다,2
가회동,서양식,맛있는,9
가회동,서양식,맛집,1
가회동,서양식,모밀,1
가회동,서양식,모습,1
가회동,서양식,밥,2
가회동,서양식,변경,1
가회동,서양식,분위기,1
가회동,서양식,뷰,1
가회동,서양식,사이드,1
가회동,서양식,사장,2
가회동,서양식,살짝,1
가회동,서양식,서비스,1
가회동,서양식,설명,1
가회동,서양식,세트,1
가회동,서양식,소스,1
가회동,서양식,손님,2
가회동,서양식,술,1
가회동,서양식,스테이크,1
가회동,서양식,식사,2
가회동,서양식,앉다,1
가회동,서양식,예쁜,1
가회동,서양식,예약,1
가회동,서양식,오므라이스,1
가회동,서양식,와인,1
가회동,서양식,요리,2
가회동,서양식,잇다,1
가회동,서양식,좋다,7
가회동,서양식,좋아하다,1
가회동,서양식,주문,1
가회동,서양식,즐겁다,1
가회동,서양식,직원,4
가회동,서양식,차,1
가회동,서양식,추천,1
가회동,서양식,추천하다 해주다,1
가회동,서양식,추천하다 해주다 술,1
가회동,서양식,친절한,6
가회동,서양식,카레,1
가회동,서양식,크림,1
가회동,서양식,타코,1
가회동,서양식,특별한,2
가회동,서양식,호랑이,1
가회동,일식,가라,1
가회동,일식,가볍다,1
가회동,일식,감칠맛,1
가회동,일식,걸리다,1
가회동,일식,경우,1
가회동,일식,괜찮다,2
가회동,일식,구이,1
가회동,일식,굴,1
가회동,일식,그만큼,1
가회동,일식,기대하다,1
가회동,일식,깔끔한,1
가회동,일식,남다,1
가회동,일식,뇨끼,1
가회동,일식,돈가스,1
가회동,일식,돈까스,3
가회동,일식,들어가다,1
가회동,일식,등심,1
가회동,일식,따다,1
가회동,일식,라멘,1
가회동,일식,루꼴,1
가회동,일식,맛있는,7
가회동,일식,매장,1
가회동,일식,면,1
가회동,일식,모밀,1
가회동,일식,바쁘다,1
가회동,일식,바삭,1
가회동,일식,밥,1
가회동,일식,부드러운,1
가회동,일식,분위기,1
가회동,일식,비꼬다,1
가회동,일식,사르르,1
가회동,일식,사장,1
가회동,일식,소금,1
가회동,일식,신선한,1
가회동,일식,아케,1
가회동,일식,안심,2
가회동,일식,연어,1
가회동,일식,예쁜,1
가회동,일식,위치,1
가회동,일식,유자,1
가회동,일식,유즈,1
가회동,일식,육수,1
가회동,일식,인테리어,1
가회동,일식,적다,1
가회동,일식,좋다,5
가회동,일식,진작,1
가회동,일식,추가,1
가회동,일식,추천,1
가회동,일식,츠케멘,1
가회동,일식,친절한,3
가회동,일식,카레,1
가회동,일식,카츠,1
가회동,일식,토핑,1
가회동,일식,특별한,1
가회동,주점,고기,1
가회동,주점,기네스,1
가회동,주점,내다,1
가회동,주점,닭고기,1
가회동,주점,디저트,1
가회동,주점,따르다,1
가회동,주점,리스,1
가회동,주점,많다,1
가회동,주점,맛있는,3
가회동,주점,맛집,1
가회동,주점,매장,1
가회동,주점,바베큐,1
가회동,주점,반,1
가회동,주점,베일,1
가회동,주점,볼,1
가회동,주점,분위기,1
가회동,주점,불다,1
가회동,주점,사장,1
가회동,주점,손님,1
가회동,주점,술집,1
가회동,주점,스콘,1
가회동,주점,안주,2
가회동,주점,예정,1
가회동,주점,올라오다,1
가회동,주점,와인,1
가회동,주점,와인잔,1
가회동,주점,요청,1
가회동,주점,위스키,1
가회동,주점,응대,1
가회동,주점,이건,1
가회동,주점,이렇게,1
가회동,주점,익다,1
가회동,주점,인지,1
가회동,주점,저렴하다,1
가회동,주점,조용하다,1
가회동,주점,좁은,1
가회동,주점,좋다,6
가회동,주점,주다,2
가회동,주점,질,1
가회동,주점,추천,1
가회동,주점,치즈,1
가회동,주점,카페,1
가회동,주점,커피,1
가회동,주점,콤포트,1
가회동,주점,크림,1
가회동,주점,토닉,1
가회동,주점,풍경,1
가회동,주점,필터,1
가회동,주점,한잔,1
가회동,주점,환경,1
가회동,주점,환기,1
가회동,중식,맛있는,1
가회동,중식,빨리,1
가회동,중식,빨리 나오다,1
가회동,중식,신선한,1
가회동,중식,신선한 보다,1
가회동,중식,재료,1
가회동,중식,좋다,1
가회동,중식,직원,1
가회동,중식,친절한,1
가회동,중식,혼밥,1
가회동,카페,가게,1
가회동,카페,가능하다,1
가회동,카페,가득,1
가회동,카페,가로수길,1
가회동,카페,가성,2
가회동,카페,감사하다,1
가회동,카페,감자,2
가회동,카페,게이샤,1
가회동,카페,겐,1
가회동,카페,겸,1
가회동,카페,경험,1
가회동,카페,고객,1
가회동,카페,고소,1
가회동,카페,골목,1
가회동,카페,공간,1
가회동,카페,괜,1
가회동,카페,구매,2
가회동,카페,그게,1
가회동,카페,그렇다,1
가회동,카페,그릭,1
가회동,카페,금욜,1
가회동,카페,기념일,1
가회동,카페,기분,2
가회동,카페,깔끔한,1
가회동,카페,끄다,1
가회동,카페,나쁘다,1
가회동,카페,나쵸,1
가회동,카페,날씨,1
가회동,카페,내추럴,1
가회동,카페,노티,1
가회동,카페,녹차,1
가회동,카페,늦다,1
가회동,카페,니,1
가회동,카페,다양한,2
가회동,카페,닦다,1
가회동,카페,달고나,1
가회동,카페,대기,1
가회동,카페,더없이,1
가회동,카페,던킨,1
가회동,카페,도넛,2
가회동,카페,도리,1
가회동,카페,독보,1
가회동,카페,드,1
가회동,카페,드라제,1
가회동,카페,드레싱,1
가회동,카페,드립,1
