행정동,업종,키워드,갯수
가회동,동남아시아,가성비,1
가회동,동남아시아,마감,1
가회동,동남아시아,맛있는,3
가회동,동남아시아,면,1
가회동,동남아시아,베트남,1
가회동,동남아시아,볶음,1
가회동,동남아시아,볶음밥,2
가회동,동남아시아,쌀국수,1
가회동,동남아시아,아쉬운,1
가회동,동남아시아,양도 많다,1
가회동,동남아시아,요리,1
가회동,동남아시아,운영,1
가회동,동남아시아,저렴하다,1
가회동,동남아시아,존맛,1
가회동,동남아시아,주문,2
가회동,동남아시아,지하,1
가회동,동남아시아,차갑다,1
가회동,동남아시아,커리,2
가회동,동남아시아,팟씨유,1
가회동,동남아시아,팟타이,2
가회동,동남아시아,현지,1
가회동,동남아시아,화나는,1
가회동,동남아시아,환기,1
가회동,동남아시아,환기 안되는,1
가회동,분식,괜찮다,1
가회동,분식,굉장하다,1
가회동,분식,김밥,3
가회동,분식,눈치,1
가회동,분식,도용,1
가회동,분식,떡,1
가회동,분식,떡볶이,1
가회동,분식,라면,1
가회동,분식,라볶이,1
가회동,분식,만두,1
가회동,분식,맛있는,3
가회동,분식,머니,1
가회동,분식,봉지,1
가회동,분식,분식집,1
가회동,분식,손,1
가회동,분식,손님,1
가회동,분식,손잡이,1
가회동,분식,쓰다,1
가회동,분식,쓰레기,1
가회동,분식,아쉬운,1
가회동,분식,안국역,1
가회동,분식,어묵,1
가회동,분식,요기,1
가회동,분식,유세,1
가회동,분식,잡고,1
가회동,분식,적다,2
가회동,분식,정갈하다,1
가회동,분식,젖다 손 봉지,1
가회동,분식,종류,1
가회동,분식,종류 많다,1
가회동,분식,주다개선 해주다,1
가회동,분식,친절한,1
가회동,분식,튀김,1
가회동,분식,평범,1
가회동,분식,혼밥,1
가회동,서양식,가성비,3
가회동,서양식,감사하다,1
가회동,서양식,갓잇,1
가회동,서양식,고기,1
가회동,서양식,귀여운,1
가회동,서양식,기분,1
가회동,서양식,기준,1
가회동,서양식,깊다,1
가회동,서양식,깔끔한,1
가회동,서양식,냄새,1
가회동,서양식,달다,1
가회동,서양식,대기,2
가회동,서양식,더러운,1
가회동,서양식,돈가스,1
가회동,서양식,돈까스,1
가회동,서양식,레스토랑,1
가회동,서양식,만석,1
가회동,서양식,만족스럽다,1
가회동,서양식,맛없다,1
가회동,서양식,맛있는,9
가회동,서양식,매운,1
가회동,서양식,매장,1
가회동,서양식,면,1
가회동,서양식,모밀,1
가회동,서양식,못자다,1
가회동,서양식,바라다,1
가회동,서양식,밥,1
가회동,서양식,배부르다,1
가회동,서양식,본인,1
가회동,서양식,분위기,3
가회동,서양식,불친절한,1
가회동,서양식,블로그,1
가회동,서양식,사장님,1
가회동,서양식,새우,1
가회동,서양식,서비스,1
가회동,서양식,설명,2
가회동,서양식,세트,1
가회동,서양식,소스,1
가회동,서양식,술,1
가회동,서양식,스테이크,1
가회동,서양식,식사,1
가회동,서양식,아쉬운,1
가회동,서양식,예쁜,1
가회동,서양식,예약,2
