행정동,업종,키워드,갯수
신촌동,한식,맛있는,127
신촌동,한식,친절한,53
신촌동,한식,고기,23
신촌동,한식,가성비,18
신촌동,한식,반찬,9
신촌동,한식,많은 양,8
신촌동,한식,가성비 좋은,8
신촌동,한식,김치,7
신촌동,한식,깔끔한,7
신촌동,한식,서비스,5

신촌동,패스트푸드,맛있는,18
신촌동,패스트푸드,친절한,7
신촌동,패스트푸드,피자,4
신촌동,패스트푸드,가성비,4
신촌동,패스트푸드,소스,3
신촌동,패스트푸드,치킨,3
신촌동,패스트푸드,버거,2
신촌동,패스트푸드,포장,2
신촌동,패스트푸드,다양한,1
신촌동,패스트푸드,넓은,1

신촌동,카페,맛있는,103
신촌동,카페,친절한,50
신촌동,카페,커피,34
신촌동,카페,분위기,18
신촌동,카페,음료,17
신촌동,카페,가성비,13
신촌동,카페,매장,11
신촌동,카페,인테리어,7
신촌동,카페,공부하기 좋은,4
신촌동,카페,자리,3

신촌동,중식,맛있는,29
신촌동,중식,친절한,11
신촌동,중식,마라탕,10
신촌동,중식,재료,5
신촌동,중식,깨끗한,4
신촌동,중식,신선한,3
신촌동,중식,가성비,3
신촌동,중식,탕수육,2
신촌동,중식,짜장면,2
신촌동,중식,다양한,2

신촌동,주점,맛있는,40
신촌동,주점,안주,20
신촌동,주점,가성비,18
신촌동,주점,친절한,12
신촌동,주점,맥주,9
신촌동,주점,칵테일,7
신촌동,주점,다양한,5
신촌동,주점,저렴한,4
신촌동,주점,막걸리,3
신촌동,주점,단체,4

신촌동,일식,맛있는,39
신촌동,일식,친절한,17
신촌동,일식,초밥,6
신촌동,일식,가성비,5
신촌동,일식,신선한,4
신촌동,일식,돈까스,4
신촌동,일식,라멘,4
신촌동,일식,혼밥,4
신촌동,일식,소스,3
신촌동,일식,매장,2

신촌동,서양식,맛있는,31
신촌동,서양식,친절한,10
신촌동,서양식,파스타,9
신촌동,서양식,분위기,8
신촌동,서양식,소스,6
신촌동,서양식,돈까스,5
신촌동,서양식,가성비,4
신촌동,서양식,스테이크,3
신촌동,서양식,타코,3
신촌동,서양식,예쁜,2

신촌동,분식,맛있는,25
신촌동,분식,떡볶이,7
신촌동,분식,김밥,6
신촌동,분식,친절한,5
신촌동,분식,가성비,3
신촌동,분식,혼밥,3
신촌동,분식,맛집,3
신촌동,분식,커피,2
신촌동,분식,튀김,2
신촌동,분식,혼밥하기 좋은,2

신촌동,동남아시아,맛있는,12
신촌동,동남아시아,쌀국수,7
신촌동,동남아시아,많은 양,5
신촌동,동남아시아,친절한,5
신촌동,동남아시아,저렴한,2
신촌동,동남아시아,인도,2
신촌동,동남아시아,커리,2
신촌동,동남아시아,베트남,2
신촌동,동남아시아,세트,2
신촌동,동남아시아,고수,1

성수2가제3동,한식,맛있는,117
성수2가제3동,한식,친절한,48
성수2가제3동,한식,많은 양,15
성수2가제3동,한식,깔끔한,13
성수2가제3동,한식,점심,10
성수2가제3동,한식,가성비,9
성수2가제3동,한식,칼국수,9
성수2가제3동,한식,분위기,7
성수2가제3동,한식,저렴한,7
성수2가제3동,한식,서비스,6

성수2가제3동,패스트푸드,맛있는,17
성수2가제3동,패스트푸드,친절한,8
성수2가제3동,패스트푸드,버거,7
성수2가제3동,패스트푸드,피자,6
성수2가제3동,패스트푸드,많은 양,3
성수2가제3동,패스트푸드,패티,3
성수2가제3동,패스트푸드,햄버거,3
